instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
Abilene Christian University,Abilene Christian University, , ,Abilene,TX,79699,49722,49722,49722,39372,7,297,703,5,67,100,20473,11569,6590,924
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,ABAC,2802 Moore Hwy,Tifton,GA,31793-2601,15345,13803,20541,7603,0,0,273,524,22,87,5262,2389,1647,1017
Academy of Interactive Entertainment,Academy of Interactive Entertainment,AIE,305 Harrison St Ste 405,Seattle,WA,98109-4623,,34698,34698,27165,,,,0,80,85,3534,85,75,51
Academy of Interactive Entertainment,Academy of Interactive Entertainment, ,537 Cajundome Boulevard #211,Lafayette,LA,70506-4293,,34113,34113,26769,,,,0,56,93,7306,126,63,36
Adams State University,Adams State University, ,208 Edgemont Blvd,Alamosa,CO,81101,22708,25811,36827,14264,8,422,315,373,27,95,8846,1698,1675,460
Adelphi University,Adelphi University, ,South Ave,Garden City,NY,11530-0701,58430,58430,58430,45840,36,981,1230,25,70,91,20705,13006,9648,1245
Adrian College,Adrian College, ,110 S Madison St,Adrian,MI,49221-2575,53481,53481,53481,42163,0,25,303,8,45,100,24948,5132,3326,635
Adult and Community Education-Hudson,Adult and Community Education-Hudson, ,2323 Lexington Avenue,Columbus,OH,43211,,,,,,,,0,74,100,4881,32,30,30
Advanced Technology Institute,Advanced Technology Institute,ATI,5700 Southern Blvd Ste 100,Virginia Beach,VA,23462,,25656,25656,16986,,,,32,75,76,5583,448,350,226
AdventHealth University,AdventHealth University,Florida Hospital College,671 Winyah Drive,Orlando,FL,32803,25304,30448,30448,19178,0,93,316,81,30,96,7109,267,232,94
Advertising Art Educational Services DBA School of Advertising Art,Advertising Art Educational Services DBA School of Advertising Art, ,1725 E David Rd,Kettering,OH,45440,,37433,37433,32043,,,,52,67,94,6575,302,276,83
Agnes Scott College,Agnes Scott College, ,141 E. College Ave.,Decatur,GA,30030-3770,55625,45795,45795,43295,0,0,189,0,69,100,31058,1625,1144,324
Alabama A & M University,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,23462,23462,32072,14334,8,332,507,0,27,91,10464,9638,8661,1529
Alabama State University,Alabama State University, ,915 S Jackson Street,Montgomery,AL,36104-0271,22110,24216,32544,16896,32,144,650,0,30,93,9011,7783,7607,1038
Alaska Pacific University,Alaska Pacific University, ,4101 University Dr,Anchorage,AK,99508,34600,42570,42570,26370,4,67,40,2,56,100,15652,419,353,50
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences, ,106 New Scotland Avenue,Albany,NY,12208-3492,49585,51585,51585,40365,225,21,49,0,66,100,17481,1985,1427,191
Albany State University,Albany State University, ,504 College Drive,Albany,GA,31705,19133,21975,32436,11175,0,138,475,645,19,94,6730,4093,3704,1605
Albertus Magnus College,Albertus Magnus College, ,700 Prospect St,New Haven,CT,06511-1189,53124,53894,53894,40276,0,170,300,57,72,99,22174,1388,806,163
Albion College,Albion College, ,611 E Porter St,Albion,MI,49224,59470,59470,59470,47590,0,0,280,0,64,100,39041,4226,2884,428
Albright College,Albright College, ,1621 N. 13th St.,Reading,PA,19612-5234,60636,61036,61036,48966,0,7,491,0,51,98,33694,6755,4188,575
Alcorn State University,Alcorn State University, ,1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500,24032,25856,25856,15484,0,151,450,16,40,86,13786,4314,3853,615
Alderson Broaddus University,Alderson Broaddus University,Alderson-Broaddus College,101 College Hill Drive,Philippi,WV,26416-2035,40952,43997,43997,32642,0,36,160,1,35,99,19034,3988,1696,256
Alfred University,Alfred University, ,One Saxon Drive,Alfred,NY,14802-1205,45104,45104,45104,35838,7,248,395,0,60,100,22431,4296,2693,437
Alice Lloyd College,Alice Lloyd College, ,100 Purpose Rd,Pippa Passes,KY,41844,24290,21800,21800,17950,0,0,86,0,70,100,9451,4720,1311,245
Allegheny College,Allegheny College, ,520 N Main St,Meadville,PA,16335-3902,63180,60680,60680,51040,0,0,388,0,74,100,34949,5479,3485,474
Alma College,Alma College, ,614 W Superior,Alma,MI,48801-1599,54270,54270,54270,43272,0,0,293,0,64,100,29410,4765,3055,404
Alvernia University,Alvernia University, ,400 Saint Bernardine St,Reading,PA,19607-1799,51240,45100,45100,38900,30,177,370,17,57,100,19687,2628,1797,435
Alverno College,Alverno College, ,3400 S 43rd  St,Milwaukee,WI,53234-3922,40693,40947,40947,33047,0,170,298,5,41,100,19017,728,508,187
American Academy of Dramatic Arts-Los Angeles,American Academy of Dramatic Arts-Los Angeles, ,1336 North La Brea Avenue,Los Angeles,CA,90028,50385,56970,56970,42030,,,,119,65,98,9291,408,322,79
American Academy of Dramatic Arts-New York,American Academy of Dramatic Arts-New York, ,120 Madison Ave,New York,NY,10016,58619,57619,57619,41584,,,,134,68,85,9066,338,283,92
American College of Healthcare Sciences,American College of Healthcare Sciences, ,5005 SW Macadam Ave,Portland,OR,97239,,25514,25514,17716,0,70,0,78,17,,,6,6,6
American Institute of Alternative Medicine,American Institute of Alternative Medicine,AIAM,6685 Doubletree Ave,Columbus,OH,43229,,33088,33088,20807,0,0,0,80,77,80,5299,50,40,18
American International College,American International College,AIC,1000 State Street,Springfield,MA,1109,52680,45070,45070,40340,48,620,257,0,47,100,26704,2411,1649,353
American Jewish University,American Jewish University,AJU,15600 Mulholland Dr,Los Angeles,CA,90077-1519,54615,52445,52445,38783,0,24,18,0,60,100,20453,25,24,6
American Musical and Dramatic Academy,American Musical and Dramatic Academy, ,211 West 61st Street,New York,NY,10023,56700,59700,59700,42900,0,0,235,0,65,100,11036,10653,2520,545
American University,American University, ,4400 Massachusetts Ave NW,Washington,DC,20016-8001,66268,66268,66268,50868,419,1611,1768,0,80,76,31053,18984,5988,1757
AmeriTech College-Draper,AmeriTech College-Draper,Ameritech College of Healthcare,12257 South Business Park Drive-Ste 100,Draper,UT,84020-6545,,34203,34203,21276,0,0,67,238,27,55,9117,119,81,63
AmeriTech College-Provo,AmeriTech College-Provo,Ameritech College of Healthcare,2035 North 550 West,Provo,UT,84604,,,,,,,,0,60,80,3179,21,17,13
Amherst College,Amherst College, ,Boltwood Avenue,Amherst,MA,01002-5000,73966,73966,73966,59226,0,0,465,0,93,66,52025,9723,1246,492
Ancilla College,Ancilla College, ,9601 S. Union Road,Donaldson,IN,46513-0001,28890,26710,26710,19290,,,,126,26,93,11195,1296,897,136
Anderson University,Anderson University, ,1100 E 5th St,Anderson,IN,46012-3495,45290,40450,40450,34450,15,137,358,2,60,96,18786,3834,2493,395
Anderson University,Anderson University,AU,316 Boulevard,Anderson,SC,29621-4035,43110,44240,44240,34410,2,195,598,0,59,100,19940,3325,2071,642
Andrew College,Andrew College, ,501College St,Cuthbert,GA,39840-5550,37528,,,,0,0,0,33,15,98,12175,738,318,138
Andrews University,Andrews University,Andrews,4150 Administration Drive  Room 136,Berrien Springs,MI,49104,40566,45556,45556,31488,99,288,318,1,58,99,17305,1445,947,296
Angelo State University,Angelo State University,Angelo State,2601 W. Avenue N,San Angelo,TX,76909,21046,21046,31006,11916,27,543,983,0,34,94,6723,4200,3076,1536
Anna Maria College,Anna Maria College, ,50 Sunset Lane,Paxton,MA,01612-1198,54090,46872,46872,40860,0,144,280,0,46,100,25509,3177,2339,318
Antioch College,Antioch College, ,1 Morgan Pl,Yellow Springs,OH,45387,52628,50768,50768,41168,0,0,54,0,66,100,32978,134,112,36
Appalachian Bible College,Appalachian Bible College, ,161 College Drive,Mount Hope,WV,25880-9557,26156,24158,24158,18388,0,1,21,6,49,100,10999,126,57,38
Appalachian State University,Appalachian State University,Appalachian State University,287 Rivers St,Boone,NC,28608,19194,20427,35234,10896,11,690,3843,0,72,71,9162,16154,11221,3445
Applied Technology Services,Applied Technology Services, ,12721 West Watson Road,Sunset Hills,MO,63127,,,,,,,,0,89,88,5263,25,5,5
Aquinas College,Aquinas College,AQ,1700 Fulton St. E,Grand Rapids,MI,49506-1801,44588,41992,41992,35946,0,28,335,1,61,100,23206,2171,1499,333
Arcadia University,Arcadia University,Beaver College,450 S Easton Rd,Glenside,PA,19038-3295,59980,65472,65472,48930,178,347,575,0,71,100,28985,9243,5930,479
Arizona Christian University,Arizona Christian University, ,2625 E Cactus Rd,Phoenix,AZ,85032-7097,42670,42996,42996,32996,0,0,167,0,45,100,15234,404,228,158
Arizona College-Las Vegas,Arizona College-Las Vegas, ,2320 South Rancho Drive,Las Vegas,NV,89102-4512,,35744,35744,24691,0,0,3,0,,100,3212,77,68,36
Arizona State University-Downtown Phoenix,Arizona State University-Downtown Phoenix,ASU Downtown Phoenix,411 N Central Ave,Phoenix,AZ,85004,29984,26066,43580,16382,400,796,2339,0,69,97,12606,5763,4646,1420
Arizona State University-Polytechnic,Arizona State University-Polytechnic,ASU Polytechnic,7001 E Williams Field Road,Mesa,AZ,85212,26101,25084,40820,15400,5,263,951,0,57,93,10115,2604,2171,643
Arizona State University-Skysong,Arizona State University-Skysong,ASU Skysong,1475 N Scottsdale Rd,Scottsdale,AZ,85257,27521,25561,33873,15877,52,2890,3948,0,48,82,10093,7481,5109,2385
Arizona State University-Tempe,Arizona State University-Tempe,ASU Tempe  ASU Main,University Drive and Mill Avenue,Tempe,AZ,85287,28048,26066,43580,16382,508,2643,9291,0,69,96,12060,26869,22779,8861
Arizona State University-West,Arizona State University-West,ASU West,4701 W Thunderbird Road,Glendale,AZ,85306,26006,25084,40820,15400,3,199,860,0,70,95,12060,2610,2151,665
Arkansas State University-Main Campus,Arkansas State University-Main Campus,Arkansas State University-Jonesboro,2105 E. Aggie Road,Jonesboro,AR,72401,23101,24192,30882,15147,51,1687,1814,581,48,97,8777,5253,4056,1565
Arkansas Tech University,Arkansas Tech University,ATU|Tech|Arkansas Tech,Administration Bldg 200; 1509 N Boulder Ave,Russellville,AR,72801-2222,18785,24477,29901,12575,14,287,1224,913,41,95,6739,5122,4622,1722
Arnot Ogden Medical Center,Arnot Ogden Medical Center, ,600 Roe Avenue,Elmira,NY,14905-1676,,,,,,,,0,33,90,3818,4,4,4
Art Academy of Cincinnati,Art Academy of Cincinnati,AAC,1212 Jackson Street,Cincinnati,OH,45202-1706,47050,45250,45250,38050,0,1,37,0,63,100,11567,1115,365,63
Art Center College of Design,Art Center College of Design, ,1700 Lida St,Pasadena,CA,91103,,67438,67438,53908,0,102,471,0,72,61,20572,844,571,241
Asbury University,Asbury University,dba Asbury College,1 Macklem Dr,Wilmore,KY,40390-1198,41568,40398,40398,33873,0,70,302,1,62,99,16895,1366,912,273
Ashland University,Ashland University, ,401 College Avenue,Ashland,OH,44805,34792,31482,31482,25982,40,625,625,177,61,97,12511,4656,3169,602
Assabet Valley Regional Technical School,Assabet Valley Regional Technical School,Assabet Valley Regional Vocational School District,215 Fitchburg St,Marlborough,MA,1752,,,,,,,,0,94,70,5246,31,14,14
Associated Beth Rivkah Schools,Associated Beth Rivkah Schools, ,310 Crown Street,Brooklyn,NY,11225-0000,,26014,26014,13600,0,0,0,0,87,83,4825,67,65,63
Assumption College,Assumption College, ,500 Salisbury St,Worcester,MA,01609-1296,56443,56443,56443,43758,0,151,476,1,75,99,23510,4178,3387,553
Athena Career Academy,Athena Career Academy, ,5203 Airport Hwy,Toledo,OH,43615,,,,,,,,0,91,97,3607,275,108,51
Auburn University,Auburn University, , ,Auburn,AL,36849,31590,31590,50838,18258,525,1289,4722,0,78,75,9634,20742,15645,4783
Auburn University at Montgomery,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,7440 East Drive,Montgomery,AL,36117-3596,20314,23623,33031,13334,0,262,738,0,34,96,5910,5941,5514,757
Augsburg University,Augsburg University, ,2211 Riverside Ave,Minneapolis,MN,55454,52780,58762,58762,44000,22,322,548,0,64,100,26658,2020,1393,418
Augusta University,Augusta University, ,1120 Fifteenth St,Augusta,GA,30912,21254,25532,40084,12404,407,406,978,1,31,91,8161,3054,2445,1085
Augustana College,Augustana College, ,639 38th St,Rock Island,IL,61201-2296,54907,54907,54907,44335,0,0,619,0,74,100,28835,6211,3956,630
Augustana University,Augustana University,Augie |Augustana College(SD) |Augustana University,2001 S Summit Ave,Sioux Falls,SD,57197-0001,46982,46642,46642,38734,0,154,355,0,70,100,21957,2201,1440,456
Aultman College of Nursing and Health Sciences,Aultman College of Nursing and Health Sciences,Aultman College,2600 6th St SW,Canton,OH,44710-1797,,28700,28700,22670,0,0,25,81,100,93,6788,67,50,34
Aurora University,Aurora University, ,347 S Gladstone Ave,Aurora,IL,60506-4892,37994,32638,32638,32638,19,713,1061,0,54,100,16309,3296,2675,762
Austin College,Austin College, ,900 N Grand Ave,Sherman,TX,75090-4400,55137,46805,46805,42790,0,13,290,0,70,100,30414,3832,2120,435
Austin Peay State University,Austin Peay State University, ,601 College St,Clarksville,TN,37044,24946,24946,40186,14247,0,301,1604,380,41,99,8212,7722,7242,2009
Autry Technology Center,Autry Technology Center, ,1201 W Willow,Enid,OK,73703-2506,,,,,,,,0,74,88,2920,165,153,153
Ave Maria University,Ave Maria University,AMU,5050 Ave Maria Blvd,Ave Maria,FL,34142-9505,36261,36261,36261,29747,6,10,240,0,56,98,15547,1378,1143,331
Averett University,Averett University,AU,420 W Main St,Danville,VA,24541,47918,43308,43308,38658,0,0,167,0,42,100,21119,2833,1717,292
Averett University-Non-Traditional Programs,Averett University-Non-Traditional Programs,AU GPS and IDEAL,420 W Main St,Danville,VA,24541,,29320,29320,12920,0,143,163,3,,100,,18,6,5
Avila University,Avila University, ,11901 Wornall Rd,Kansas City,MO,64145-1698,31598,33948,33948,24176,0,139,273,0,50,100,19433,2623,1431,168
Azusa Pacific University,Azusa Pacific University, ,901 E Alosta,Azusa,CA,91702-7000,54144,58828,58828,45164,118,1193,1552,0,63,98,22536,9832,6736,1114
B M Spurr School of Practical Nursing,B M Spurr School of Practical Nursing, ,800 Wheeling Ave,Glen Dale,WV,26038,,,,,,,,0,100,22,5920,23,7,6
Babson College,Babson College, ,231 Forest Street,Babson Park,MA,02457-0310,70378,70378,70378,61502,0,497,577,0,91,50,38895,6383,1558,539
Bacone College,Bacone College, ,2299 Old Bacone Rd,Muskogee,OK,74403-1597,35150,,,,0,0,101,18,10,90,11356,761,116,41
Bais Binyomin Academy,Bais Binyomin Academy, ,51 Carlton Road,Monsey,NY,10952,18050,26664,26664,14250,0,0,2,7,53,100,6892,22,18,12
Bais HaMedrash and Mesivta of Baltimore,Bais HaMedrash and Mesivta of Baltimore, ,6823 Old Pimlico Road,Baltimore,MD,21209-1613,22100,30700,30700,19200,0,0,12,0,41,80,13828,22,22,22
Bais Medrash Elyon,Bais Medrash Elyon, ,73 Main Street,Monsey,NY,10952,15400,26814,26814,14400,4,0,8,0,0,100,11400,5,4,3
Bais Medrash Mayan Hatorah,Bais Medrash Mayan Hatorah, ,101 Milton Street,Lakewood,NJ,8701,16650,28864,28864,16450,0,0,5,0,,75,5035,34,22,19
Bais Medrash Toras Chesed,Bais Medrash Toras Chesed, ,901 Monmouth Ave,Lakewood,NJ,8701,11300,,,,0,0,14,0,25,82,9127,57,34,24
Baker College,Baker College, ,1050 West Bristol Road,Flint,MI,48507-5508,21000,22800,22800,15600,11,181,1414,1629,19,97,5955,1206,640,530
Baker University,Baker University,Baker|BU|Baker U,618 Eighth Street,Baldwin City,KS,66006-0065,44410,44280,44280,34780,27,333,400,62,59,100,21237,810,710,247
Baldwin Wallace University,Baldwin Wallace University,Baldwin Wallace |Baldwin-Wallace College |Baldwin-Wallace,275 Eastland Rd,Berea,OH,44017-2088,47528,48506,48506,39474,0,255,724,0,64,100,21257,3926,2915,677
Ball State University,Ball State University,BSU|Ball U,2000 University Ave,Muncie,IN,47306,24550,24550,41122,15736,61,1815,3361,46,63,90,9952,23988,15539,3683
Baptist Health College Little Rock,Baptist Health College Little Rock,BHCLR,11900 COLONEL GLENN RD STE 1000,Little Rock,AR,72210-2827,,31544,31544,22081,,,,229,20,100,1909,6,4,3
Baptist Memorial College of Health Sciences,Baptist Memorial College of Health Sciences,Baptist College of Health Sciences,1003 Monroe Ave,Memphis,TN,38104,23207,25011,25011,17269,0,0,239,8,48,100,9568,462,272,103
Baptist Missionary Association Theological Seminary,Baptist Missionary Association Theological Seminary,BMA Seminary,1530 E Pine St,Jacksonville,TX,75766-5407,16300,15600,15600,9100,0,16,4,3,,,,4,3,3
Barclay College,Barclay College, ,607 N Kingman,Haviland,KS,67059-0288,32500,31200,31200,23200,0,11,34,8,43,100,8736,166,76,44
Bard College,Bard College, ,Annandale Road,Annandale-On-Hudson,NY,12504-5000,72768,67430,67430,57280,2,166,464,37,75,72,44163,5141,3319,486
Bard College at Simon's Rock,Bard College at Simon's Rock,Simon's Rock,84 Alford Road,Great Barrington,MA,01230-9702,71998,71998,71998,57082,0,0,37,102,60,95,27815,281,227,147
Barnard College,Barnard College,Barnard,3009 Broadway,New York,NY,10027-6598,74777,74777,74777,57552,0,0,651,0,92,50,44419,7897,1099,605
Barry University,Barry University, ,11300 NE 2nd Ave,Miami,FL,33161-6695,46898,49348,49348,34448,323,897,703,0,36,100,24286,5255,4795,644
Barton College,Barton College, ,200 E. ACC Drive,Wilson,NC,27893-7000,46600,46600,46600,36480,0,40,216,0,52,99,21556,3486,1381,277
Bates College,Bates College,Bates,2 Andrews Road,Lewiston,ME,4240,71168,,,,0,0,473,0,89,46,43757,7685,1367,522
Bay Path University,Bay Path University, ,588 Longmeadow Street,Longmeadow,MA,1106,50524,42125,42125,38625,0,512,433,17,59,100,25055,1513,914,135
Bay State College,Bay State College, ,122 Commonwealth Avenue,Boston,MA,2116,43620,43620,43620,31820,0,0,131,85,38,97,6990,179,124,42
Baylor University,Baylor University, , ,Waco,TX,76798,62527,62266,62266,50278,284,804,3367,0,79,97,25467,37083,14442,3366
Beacon College,Beacon College, ,105 E Main St,Leesburg,FL,34748,57506,56510,56510,43953,0,0,43,15,56,73,17899,266,135,91
Becker College,Becker College, ,61 Sever St,Worcester,MA,01609-2165,57160,52556,52556,43160,0,4,333,112,44,100,20008,3916,2598,304
Beis Medrash Heichal Dovid,Beis Medrash Heichal Dovid, ,211 Beach Seventeenth Street,Far Rockaway,NY,11691-4433,18000,,,,7,0,21,0,29,58,6625,55,42,38
Bel-Rea Institute of Animal Technology,Bel-Rea Institute of Animal Technology,Bel-Rea Intitute |Bel-Rea,1681 S Dayton St,Denver,CO,80247,,30299,30299,17834,,,,111,42,82,5318,265,64,61
Belhaven University,Belhaven University, ,1500 Peachtree St,Jackson,MS,39202,35450,32950,32950,29950,0,541,553,50,47,100,15722,1961,1012,227
Bellarmine University,Bellarmine University, ,2001 Newburg Rd,Louisville,KY,40205-0671,61138,61138,61138,48888,89,216,567,0,67,100,31527,5535,4751,653
Bellin College,Bellin College, ,3201 Eaton Road,Green Bay,WI,54311,,32300,32300,25700,0,12,135,0,74,100,2460,59,52,47
Belmont Abbey College,Belmont Abbey College,BAC,100 Belmont-Mt Holly Road,Belmont,NC,28012-1802,32894,31600,31600,23600,0,0,308,0,44,100,9427,2107,1681,392
Belmont University,Belmont University, ,1900 Belmont Blvd,Nashville,TN,37212-3757,52760,52760,52760,40740,230,280,1423,0,73,92,14046,8210,6771,1568
Beloit College,Beloit College, ,700 College St,Beloit,WI,53511-5595,61584,62586,62586,52754,0,0,262,0,79,100,33331,4200,2369,266
Bemidji State University,Bemidji State University, ,1500 Birchmont Dr,Bemidji,MN,56601,20994,20994,20994,12586,0,79,1050,43,46,94,5241,4017,2678,756
Benedictine College,Benedictine College, ,1020 N 2nd St,Atchison,KS,66002-1499,44850,42130,42130,34710,0,34,429,0,60,100,18758,2444,2269,570
Benedictine University,Benedictine University, ,5700 College Rd,Lisle,IL,60532-0900,50006,50836,50836,40164,27,910,819,0,47,99,18891,5502,3457,455
Bennett College,Bennett College,Bennett College / Bennett,900 E Washington St,Greensboro,NC,27401-3239,32817,32817,32817,22828,0,0,72,0,32,100,14366,3938,3794,237
Bennington College,Bennington College,Bennington,One College Drive,Bennington,VT,05201-6003,73270,73270,73270,57660,0,35,147,0,74,95,36533,1494,852,202
Bentley University,Bentley University,Bentley,175 Forest St,Waltham,MA,02452-4705,68710,68710,68710,56960,4,595,1073,0,89,77,27879,9252,3998,1014
Berea College,Berea College, ,101 Chestnut Street,Berea,KY,40404-2182,49854,49854,49854,43090,0,0,301,0,63,100,34198,1576,602,438
Berklee College of Music,Berklee College of Music, ,1140 Boylston St,Boston,MA,2215,65144,60634,60634,46784,0,255,1182,0,64,70,19384,6820,3249,1277
Berry College,Berry College, ,2277 Martha Berry Hwy NW,Mount Berry,GA,30149,52480,51680,51680,41118,0,61,432,0,66,100,25107,3970,2625,509
Bet Medrash Gadol Ateret Torah,Bet Medrash Gadol Ateret Torah, ,1750 East Fourth Street,Brooklyn,NY,11223-1933,17710,28264,28264,15850,0,0,11,0,56,100,10295,33,30,27
Beth Hamedrash Shaarei Yosher Institute,Beth Hamedrash Shaarei Yosher Institute, ,4102 16th Ave,Brooklyn,NY,11204,17500,27564,27564,15150,0,0,6,0,6,55,10136,33,26,23
Beth Medrash Meor Yitzchok,Beth Medrash Meor Yitzchok, ,85 Dykstras Way East,Monsey,NY,10952-4023,20150,27764,27764,15350,0,0,4,0,6,87,7588,120,65,58
Beth Medrash of Asbury Park,Beth Medrash of Asbury Park, ,1500 Vermont Avenue,Lakewood,NJ,08701-5842,18940,30564,30564,18150,0,0,8,0,,100,9685,32,27,20
Bethany College,Bethany College, ,335 E Swensson St,Lindsborg,KS,67456-1897,45019,40994,40994,34714,0,0,112,0,29,93,20320,1343,910,291
Bethany College,Bethany College, ,31 E Campus Dr,Bethany,WV,26032,44153,44153,44153,33573,0,9,119,0,34,100,22599,1094,993,174
Bethany Global University,Bethany Global University,BGU  Bethany College of Missions  BCOM  Bethany,6820 Auto Club Road,Bloomington,MN,55438-2849,26478,29592,29592,20617,0,3,14,10,62,100,6001,144,132,71
Bethany Lutheran College,Bethany Lutheran College,blc|bethany|bethnay|bethany lutheran|bethnay lutheran|bethany luthern|bethnay luthern|bethany college|bethnay college|bethany collage|bethnay collage|bethany lutheran college|bethnay lutheran college|bethany luthern college|bethnay luthern college|bethel lutheran college|bethany lutheran collage|bethnay lutheran collage|bethany luthern collage|bethnay luthern collage,700 Luther Dr,Mankato,MN,56001,38370,38430,38430,30330,0,0,89,0,55,99,19307,497,387,176
Bethel College-Indiana,Bethel College-Indiana, ,1001 Bethel Circle,Mishawaka,IN,46545-5591,41590,42748,42748,32890,0,95,304,29,71,100,19352,1187,1096,297
Bethel College-North Newton,Bethel College-North Newton, ,300 E 27th St,North Newton,KS,67117-1716,42765,43420,43420,34420,0,0,87,0,52,99,18889,1093,482,108
Bethel University,Bethel University, ,3900 Bethel Dr,Saint Paul,MN,55112,51700,50790,50790,42960,22,261,682,8,77,100,23246,2184,1540,611
Bethel University,Bethel University,Bethel,325 Cherry Ave,McKenzie,TN,38201,31570,31570,31570,22372,0,345,675,39,29,100,15232,1898,1262,412
Bethlehem College & Seminary,Bethlehem College & Seminary, ,720 13th Avenue South,Minneapolis,MN,55415-1793,13360,12360,12360,7560,0,18,28,16,88,0,,37,33,26
Bidwell Training Center Inc,Bidwell Training Center Inc, ,1815 Metropolitan St,Pittsburgh,PA,15233,,,,,,,,13,60,100,14130,13,9,6
Binghamton University,Binghamton University,Binghamton University,4400 Vestal Parkway East,Vestal,NY,13850-6000,26911,27111,43906,13048,135,1136,3284,0,81,75,9338,38755,15429,2949
Biola University,Biola University, ,13800 Biola Ave,La Mirada,CA,90639-0001,56956,56956,56956,45644,56,422,888,0,73,99,20950,3792,2786,866
Birmingham Southern College,Birmingham Southern College, ,900 Arkadelphia Road,Birmingham,AL,35254,34400,31400,31400,23400,0,0,277,0,68,100,25381,3636,2060,328
Birthwise Midwifery School,Birthwise Midwifery School, ,24 South High Street,Bridgton,ME,04009-1110,,30619,30619,18789,,,,0,,100,5920,10,4,4
Black Hills State University,Black Hills State University,BHSU,1200 University St,Spearfish,SD,57799-9500,21211,21211,24256,14233,0,97,445,61,34,91,4648,1858,1641,489
Blackburn College,Blackburn College, ,700 College Ave,Carlinville,IL,62626,31990,29860,29860,23960,0,0,123,0,52,99,14391,869,448,168
Bloomfield College,Bloomfield College, ,467 Franklin St,Bloomfield,NJ,7003,45946,46680,46680,35816,0,4,298,0,34,100,21948,3786,2295,394
Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania, ,400 E Second St,Bloomsburg,PA,17815,25052,25052,36876,15366,15,247,1776,0,60,89,6017,8748,6717,1846
Blue Cliff Career College,Blue Cliff Career College, ,2970 Cottage Hill Rd.  Suite 175,Mobile,AL,36606,,,,,,,,0,27,96,3890,40,36,32
Blue Mountain College,Blue Mountain College, ,201 W Main St,Blue Mountain,MS,38610-9509,23435,23429,23429,17429,0,12,128,0,49,98,9344,283,263,129
Bluefield College,Bluefield College, ,3000 College Avenue,Bluefield,VA,24605,38844,37920,37920,31420,0,6,190,7,29,100,14989,1143,1090,222
Bluefield State College,Bluefield State College, ,219 Rock St,Bluefield,WV,24701,,23356,29836,13056,0,0,221,111,26,98,6875,604,571,180
Bluffton University,Bluffton University, ,1 University Drive,Bluffton,OH,45817-2104,47566,46236,46236,38266,0,20,180,0,54,100,19394,2175,914,176
Bnos Zion Of Bobov Seminary,Bnos Zion Of Bobov Seminary, ,5000 14th Avenue,Brooklyn,NY,11219-3621,,25564,25564,13150,,,,6,95,88,5625,109,98,87
Boise Bible College,Boise Bible College, ,8695 W Marigold St,Boise,ID,83714-1220,23818,36218,36218,18122,0,0,21,10,48,100,5007,26,24,20
Boise State University,Boise State University,Boise State,1910 University Dr,Boise,ID,83725,23076,22118,38200,11756,32,917,3196,118,46,84,10533,10789,8712,2824
Bolivar Technical College,Bolivar Technical College, ,1135 North Oakland Avenue,Bolivar,MO,65613-8095,,30998,30998,22414,,,,26,82,100,3273,27,9,9
Boston Baptist College,Boston Baptist College, ,950 Metropolitan Ave,Boston,MA,02136-4030,26691,29348,29348,17783,0,0,17,0,70,89,9434,22,17,8
Boston College,Boston College, ,140 Commonwealth Avenue,Chestnut Hill,MA,2467,73092,69714,69714,60114,387,1410,2376,0,92,56,44021,31084,8669,2327
Boston University,Boston University,BU|Boston U,One Silber Way,Boston,MA,2215,72618,72618,72618,58748,1100,4913,4345,0,88,58,41036,64481,14247,3612
Bowdoin College,Bowdoin College, ,255 Maine Street,Brunswick,ME,4011,70710,,,,0,0,489,0,95,56,43239,9081,932,510
Bowie State University,Bowie State University, ,14000 Jericho Park Rd,Bowie,MD,20715-9465,23238,25688,36328,12334,8,245,781,0,42,90,8786,10601,4029,909
Bowling Green State University-Main Campus,Bowling Green State University-Main Campus,BGSU,220 McFall Ctr,Bowling Green,OH,43403,24915,24773,32761,16699,91,888,2805,0,56,95,7066,17034,12311,3273
Bradley University,Bradley University, ,1501 W Bradley Ave,Peoria,IL,61625-0001,47820,47820,47820,40810,26,265,992,0,78,100,20186,11209,7489,1090
Brandeis University,Brandeis University, ,415 South St,Waltham,MA,02454-9110,73335,69895,69895,59765,81,787,910,0,88,68,31085,11798,3675,895
